card_name,topic,snapshot_date,source,score
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-10-29,google_trends,13.6
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-10-30,google_trends,14.6
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-10-31,google_trends,16.7
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-01,google_trends,13.6
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-02,google_trends,16.8
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-03,google_trends,16.2
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-04,google_trends,16.8
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-05,google_trends,15.9
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-06,google_trends,16.4
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-07,google_trends,13.3
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-08,google_trends,15.8
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-09,google_trends,16.2
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-10,google_trends,14.3
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-11,google_trends,16
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-12,google_trends,15.4
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-13,google_trends,14.5
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-14,google_trends,13.2
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-15,google_trends,14.9
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-16,google_trends,13.5
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-17,google_trends,16.5
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-18,google_trends,13.1
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-19,google_trends,14.8
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-20,google_trends,16.3
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-21,google_trends,16.5
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-22,google_trends,15.1
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-23,google_trends,13.3
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-24,google_trends,15.5
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-25,google_trends,15.2
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-26,google_trends,16
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-27,google_trends,14.3
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-28,google_trends,15
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-29,google_trends,16.6
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-11-30,google_trends,15.7
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-01,google_trends,16.6
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-02,google_trends,17
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-03,google_trends,14.7
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-04,google_trends,15.9
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-05,google_trends,14.6
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-06,google_trends,16.7
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-07,google_trends,13.7
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-08,google_trends,14.2
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-09,google_trends,16.1
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-10,google_trends,16.4
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-11,google_trends,13.7
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-12,google_trends,14.8
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-13,google_trends,14.1
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-14,google_trends,13.4
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-15,google_trends,13
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-16,google_trends,13.1
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-17,google_trends,16.9
Naruto Vol. 1 (1st Printing),Naruto Vol. 1 (1st Printing),2025-12-18,google_trends,14.6
