card_name,grade,snapshot_date,avg_sale_price,median_sale_price,sale_count,active_listing_count,source
Naruto Vol. 1 (1st Printing),cgc_9_8,2025-10-29,1290.9,1302.63,1,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_2,2025-10-29,591.24,596.91,1,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_6_5,2025-10-29,227.29,226.75,1,11,seed_csv
Naruto Vol. 1 (1st Printing),cgc_4_0,2025-10-29,103.2,103.31,2,18,seed_csv
Naruto Vol. 1 (1st Printing),raw,2025-10-29,117.85,118.78,3,27,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_8,2025-10-30,1352,1347.95,1,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_2,2025-10-30,,,0,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_6_5,2025-10-30,231.9,232.76,1,12,seed_csv
Naruto Vol. 1 (1st Printing),cgc_4_0,2025-10-30,98.59,99.23,2,19,seed_csv
Naruto Vol. 1 (1st Printing),raw,2025-10-30,119.11,119.85,3,27,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_8,2025-10-31,,,0,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_2,2025-10-31,,,0,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_6_5,2025-10-31,236.09,234.51,1,12,seed_csv
Naruto Vol. 1 (1st Printing),cgc_4_0,2025-10-31,96.4,95.84,1,18,seed_csv
Naruto Vol. 1 (1st Printing),raw,2025-10-31,128.14,128.16,3,29,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_8,2025-11-01,1336.75,1325.21,1,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_2,2025-11-01,602.32,606.09,1,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_6_5,2025-11-01,229.58,230.27,1,12,seed_csv
Naruto Vol. 1 (1st Printing),cgc_4_0,2025-11-01,100.23,100.36,2,17,seed_csv
Naruto Vol. 1 (1st Printing),raw,2025-11-01,121.21,120.07,3,29,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_8,2025-11-02,1375.53,1362.52,1,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_2,2025-11-02,,,0,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_6_5,2025-11-02,220.07,220.14,1,13,seed_csv
Naruto Vol. 1 (1st Printing),cgc_4_0,2025-11-02,96.51,96.68,1,19,seed_csv
Naruto Vol. 1 (1st Printing),raw,2025-11-02,123.72,123.59,3,28,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_8,2025-11-03,1346.33,1356.27,1,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_2,2025-11-03,,,0,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_6_5,2025-11-03,236.09,237.99,1,12,seed_csv
Naruto Vol. 1 (1st Printing),cgc_4_0,2025-11-03,96.95,96.08,2,17,seed_csv
Naruto Vol. 1 (1st Printing),raw,2025-11-03,126.03,125.44,3,27,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_8,2025-11-04,1337.51,1343.47,1,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_2,2025-11-04,,,0,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_6_5,2025-11-04,208.06,208.09,1,13,seed_csv
Naruto Vol. 1 (1st Printing),cgc_4_0,2025-11-04,98.09,97.7,1,19,seed_csv
Naruto Vol. 1 (1st Printing),raw,2025-11-04,126.95,125.75,3,28,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_8,2025-11-05,,,0,6,seed_csv
Naruto Vol. 1 (1st Printing),cgc_9_2,2025-11-05,583.3,584.17,1,6,seed_csv
