card_name,grader,grade,snapshot_date,population
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2025-05-31,51
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2025-05-31,215
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2025-05-31,448
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2025-05-31,381
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2025-06-30,51
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2025-06-30,216
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2025-06-30,451
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2025-06-30,383
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2025-07-30,52
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2025-07-30,218
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2025-07-30,454
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2025-07-30,386
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2025-08-29,52
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2025-08-29,219
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2025-08-29,456
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2025-08-29,388
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2025-09-28,52
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2025-09-28,220
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2025-09-28,459
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2025-09-28,390
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2025-10-28,53
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2025-10-28,222
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2025-10-28,462
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2025-10-28,392
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2025-11-27,53
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2025-11-27,223
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2025-11-27,465
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2025-11-27,395
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2025-12-27,53
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2025-12-27,224
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2025-12-27,467
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2025-12-27,397
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2026-01-26,54
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2026-01-26,226
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2026-01-26,470
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2026-01-26,400
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2026-02-25,54
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2026-02-25,227
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2026-02-25,473
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2026-02-25,402
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2026-03-27,54
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2026-03-27,228
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2026-03-27,476
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2026-03-27,404
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2026-04-26,55
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2026-04-26,230
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2026-04-26,479
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2026-04-26,407
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2026-05-26,55
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2026-05-26,231
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2026-05-26,482
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2026-05-26,409
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2026-06-25,55
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2026-06-25,232
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2026-06-25,485
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2026-06-25,412
Naruto Vol. 1 (1st Printing),cgc,cgc_9_8,2026-07-25,62
Naruto Vol. 1 (1st Printing),cgc,cgc_9_2,2026-07-25,260
Naruto Vol. 1 (1st Printing),cgc,cgc_6_5,2026-07-25,543
Naruto Vol. 1 (1st Printing),cgc,cgc_4_0,2026-07-25,461
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2025-05-31,48
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2025-05-31,261
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2025-05-31,471
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2025-05-31,351
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2025-06-30,48
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2025-06-30,263
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2025-06-30,475
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2025-06-30,354
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2025-07-30,49
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2025-07-30,265
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2025-07-30,479
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2025-07-30,356
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2025-08-29,49
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2025-08-29,267
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2025-08-29,483
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2025-08-29,359
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2025-09-28,49
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2025-09-28,269
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2025-09-28,487
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2025-09-28,362
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2025-10-28,50
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2025-10-28,272
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2025-10-28,491
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2025-10-28,365
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2025-11-27,50
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2025-11-27,274
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2025-11-27,495
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2025-11-27,368
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2025-12-27,51
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2025-12-27,276
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2025-12-27,498
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2025-12-27,371
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2026-01-26,51
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2026-01-26,278
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2026-01-26,502
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2026-01-26,374
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2026-02-25,51
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2026-02-25,280
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2026-02-25,507
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2026-02-25,377
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2026-03-27,52
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2026-03-27,283
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2026-03-27,511
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2026-03-27,380
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2026-04-26,52
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2026-04-26,285
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2026-04-26,515
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2026-04-26,383
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2026-05-26,53
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2026-05-26,287
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2026-05-26,519
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2026-05-26,386
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2026-06-25,53
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2026-06-25,289
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2026-06-25,523
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2026-06-25,389
One Piece Vol. 1 (1st Printing),cgc,cgc_9_8,2026-07-25,53
One Piece Vol. 1 (1st Printing),cgc,cgc_9_2,2026-07-25,292
One Piece Vol. 1 (1st Printing),cgc,cgc_6_5,2026-07-25,527
One Piece Vol. 1 (1st Printing),cgc,cgc_4_0,2026-07-25,392
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-05-31,36
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-05-31,206
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-05-31,428
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-05-31,426
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-06-30,37
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-06-30,207
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-06-30,431
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-06-30,429
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-07-30,37
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-07-30,209
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-07-30,434
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-07-30,432
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-08-29,37
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-08-29,210
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-08-29,437
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-08-29,435
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-09-28,37
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-09-28,212
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-09-28,440
Berserk Vol. 1 (1st Printing),cgc,cgc_4_0,2025-09-28,438
Berserk Vol. 1 (1st Printing),cgc,cgc_9_8,2025-10-28,38
Berserk Vol. 1 (1st Printing),cgc,cgc_9_2,2025-10-28,213
Berserk Vol. 1 (1st Printing),cgc,cgc_6_5,2025-10-28,443
